names	district	location	xaxis	yaxis	roomspace	orientation	numrooms	height	floors	owner	postdate	attrs	price
整租 · 金台路地铁 近朝阳公园 装修好 诚意出租 带车位	朝阳	甜水园	116.483539	39.930342	82㎡	东南	1室1厅1卫	中楼层	（17层）	链家	15天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	16000
白广路东里1号院 1室1厅 6800元	西城	白纸坊	116.36753	39.888592	66㎡	南 北	1室1厅1卫	低楼层	（6层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6800
整租 ·   九龙花园 精装开间 家具家电齐全 随时拎包入住	朝阳	双井	116.477203	39.900109	53㎡	南	1室0厅1卫	低楼层	（23层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6500
整租 ·   百子湾东四环后现代城A区开间北向家电家具齐全	朝阳	大望路	116.493655	39.905367	48㎡	北	1室0厅1卫	中楼层	（20层）	链家	12天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6000
整租 · 远见名苑 1室0厅 5300元	西城	广安门	116.344985	39.891739	47㎡	东	1室0厅1卫	低楼层	（24层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_key': '随时看房'}	5300
整租 ·   45平米精装小开间，朝向北，高楼层	朝阳	建国门外	116.450074	39.9098	45㎡	北	1室0厅1卫	高楼层	（18层）	链家	21天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	7000
整租 ·   安定门 西营房 2号线 近地铁 精装修可随时入住	东城	安定门	116.409688	39.958188	56㎡	东南	1室1厅1卫	中楼层	（19层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	6800
整租 · 小南庄甲26号院 1室1厅 6500元	海淀	苏州桥	116.310632	39.972844	42㎡	南 北	1室1厅1卫	中楼层	（6层）	链家	29天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6500
整租 · 东直门外大街(朝阳） 1室1厅 7000元	朝阳	工体	116.451197	39.946843	44㎡	南	1室1厅1卫	低楼层	（16层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	7000
整租 · 十里堡北里 1室1厅 5200元	朝阳	十里堡	116.512182	39.928407	40㎡	南	1室1厅1卫	中楼层	（6层）	链家	7天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5200
