,names,district,location,xaxis,yaxis,roomspace,orientation,numrooms,height,floors,owner,postdate,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
0,整租 · 金台路地铁 近朝阳公园 装修好 诚意出租 带车位,朝阳,甜水园,116.483539,39.930341999999996,82,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,17,链家,15天前发布,16000,1.0,1,1,1,0,0,1,1,0,0,1,1
1,白广路东里1号院 1室1厅 6800元,西城,白纸坊,116.36753,39.888591999999996,66,南 北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,6,链家,1个月前发布,6800,,1,1,1,0,0,0,1,0,0,1,1
2,整租 ·   九龙花园 精装开间 家具家电齐全 随时拎包入住,朝阳,双井,116.477203,39.900109,53,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,23,链家,1个月前发布,6500,1.0,1,0,1,0,0,1,1,0,0,1,1
3,整租 ·   百子湾东四环后现代城A区开间北向家电家具齐全,朝阳,大望路,116.493655,39.905367,48,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,20,链家,12天前发布,6000,1.0,1,0,1,0,0,0,1,0,0,1,1
4,整租 · 远见名苑 1室0厅 5300元,西城,广安门,116.34498500000001,39.891739,47,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,24,链家,1个月前发布,5300,1.0,1,0,1,0,0,1,1,0,0,1,0
5,整租 ·   45平米精装小开间，朝向北，高楼层,朝阳,建国门外,116.450074,39.9098,45,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,18,链家,21天前发布,7000,1.0,1,0,1,0,0,0,1,0,0,1,1
6,整租 ·   安定门 西营房 2号线 近地铁 精装修可随时入住,东城,安定门,116.40968799999999,39.958188,56,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,19,链家,1个月前发布,6800,1.0,1,1,1,0,0,0,1,0,0,1,0
7,整租 · 小南庄甲26号院 1室1厅 6500元,海淀,苏州桥,116.31063200000001,39.972844,42,南 北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,29天前发布,6500,1.0,1,1,1,0,0,0,1,0,0,1,1
8,整租 · 东直门外大街(朝阳） 1室1厅 7000元,朝阳,工体,116.451197,39.946843,44,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,16,链家,1个月前发布,7000,1.0,1,1,1,0,0,1,1,0,0,1,1
9,整租 · 十里堡北里 1室1厅 5200元,朝阳,十里堡,116.51218200000001,39.928407,40,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,7天前发布,5200,1.0,1,1,1,0,0,1,1,0,0,1,1
10,整租 ·  万寿路 万方苑精装修 朝南向 一居室 诚心出租,海淀,公主坟,116.303762,39.92129,67,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,14,链家,1个月前发布,7500,1.0,1,1,1,0,0,1,1,0,0,1,1
11,整租 ·   纯南向的一居室，保持干净，二层，出行方便,顺义,顺义城,116.65976599999999,40.128078,43,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,6,链家,1个月前发布,3500,1.0,1,0,1,0,0,0,1,0,0,1,1
12,整租 ·   新城国际，三期loft户型，精装修 复式,朝阳,东大桥,116.462122,39.923796,137,东北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 2})",低楼层,31,链家,1个月前发布,27000,1.0,1,1,2,0,1,1,1,0,0,1,1
13,整租 ·   乐成国际 开间 家具齐全 装修温馨 随时看房拎包入住,朝阳,双井,116.47913700000001,39.902193,62,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,12,链家,12天前发布,8500,1.0,1,0,1,0,0,1,1,0,0,1,1
14,整租 ·   整租 新城国际开间，精装修，随时拎包入住。,朝阳,东大桥,116.462122,39.923796,72,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,30,链家,28天前发布,17500,1.0,1,0,1,0,0,1,1,0,0,1,1
15,铁二区 1室1厅 6700元,西城,月坛,116.35413500000001,39.916877,44,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,6,链家,1个月前发布,6700,,1,1,1,0,0,0,1,0,0,1,1
16,糖人街 1室0厅 4900元,丰台,太平桥,116.32309099999999,39.888033,43,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,20,链家,1个月前发布,4900,,1,0,1,0,0,0,1,0,0,1,1
17,整租 · 富华家园 1室0厅 5100元,朝阳,高碑店,116.534997,39.928559,52,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,22,链家,1个月前发布,5100,1.0,1,0,1,0,0,1,1,0,0,1,1
18,整租 ·   看房方便  户型方正  随时可住,西城,陶然亭,116.403304,39.891690999999994,54,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,7,链家,1个月前发布,5500,1.0,1,1,1,0,0,0,1,0,0,1,1
19,华清嘉园 1室0厅 8000元,海淀,五道口,116.34371399999999,39.996907,51,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,19,链家,29天前发布,8000,,1,0,1,0,0,0,1,0,0,1,0
20,整租 · 博雅国际 1室1厅 8300元,朝阳,望京,116.475489,40.01952,65,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,26,链家,25天前发布,8300,1.0,1,1,1,0,0,1,1,0,0,1,1
