a	ba	pa	ma	fa	da	ta	na	la	ga	ka	ha	0	0	0	za	ca	sa	zha	cha	sha	0	ya	wa
o	bo	po	mo	fo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yo	wo
e	0	0	me	0	de	te	ne	le	ge	ke	he	0	0	0	ze	ce	se	zhe	che	she	re	ye	0
0	bi	pi	mi	0	di	ti	ni	li	0	0	0	ji	qi	xi	zi	ci	si	zhi	chi	shi	ri	yi	0
0	bu	pu	mu	fu	du	tu	nu	lu	gu	ku	hu	ju	qu	xu	zu	cu	su	zhu	chu	shu	ru	yu	wu
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ai	bai	pai	mai	0	dai	tai	nai	lai	gai	kai	hai	0	0	0	zai	cai	sai	zhai	chai	shai	0	0	wai
ao	bao	pao	mao	0	dao	tao	nao	lao	gao	kao	hao	0	0	0	zao	cao	sao	zhao	chao	shao	rao	yao	0
an	ban	pan	man	fan	dan	tan	nan	lan	gan	kan	han	0	0	0	zan	can	san	zhan	chan	shan	ran	yan	wan
ang	bang	pang	mang	fang	dang	tang	nang	lang	gang	kang	hang	0	0	0	zang	cang	sang	zhang	chang	shang	rang	yang	wang
ou	0	pou	mou	fou	dou	tou	nou	lou	gou	kou	hou	0	0	0	zou	cou	sou	zhou	chou	shou	rou	you	0
0	0	0	0	0	dong	tong	nong	long	gong	kong	hong	0	0	0	zong	cong	song	zhong	chong	0	rong	yong	0
ei	bei	pei	mei	fei	dei	tei	nei	lei	gei	kei	hei	0	0	0	zei	cei	0	zhei	0	shei	0	0	wei
er	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
en	ben	pen	men	fen	den	0	nen	0	gen	ken	hen	0	0	0	zen	cen	sen	zhen	chen	shen	ren	0	wen
eng	beng	peng	meng	feng	deng	teng	neng	leng	geng	keng	heng	0	0	0	zeng	ceng	seng	zheng	cheng	sheng	reng	0	weng
0	0	0	miu	0	diu	0	niu	liu	0	0	0	jiu	qiu	xiu	0	0	0	0	0	0	0	0	0
0	bie	pie	mie	0	die	tie	nie	lie	0	0	0	jie	qie	xie	0	0	0	0	0	0	0	0	0
0	bin	pin	min	0	0	0	nin	lin	0	0	0	jin	qin	xin	0	0	0	0	0	0	0	yin	0
0	bing	ping	ming	0	ding	ting	ning	ling	0	0	0	jing	qing	xing	0	0	0	0	0	0	0	ying	0
0	0	0	0	0	dia	0	0	lia	0	0	0	jia	qia	xia	0	0	0	0	0	0	0	0	0
0	biao	piao	miao	0	diao	tiao	niao	liao	0	0	0	jiao	qiao	xiao	0	0	0	0	0	0	0	0	0
0	bian	pian	mian	0	dian	tian	nian	lian	0	0	0	jian	qian	xian	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	niang	liang	0	0	0	jiang	qiang	xiang	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	jiong	qiong	xiong	0	0	0	0	0	0	0	0	0
0	0	0	0	0	dui	tui	0	0	gui	kui	hui	0	0	0	zui	cui	sui	zhui	chui	shui	rui	0	0
0	0	0	0	0	dun	tun	nun	lun	gun	kun	hun	jun	qun	xun	zun	cun	sun	zhun	chun	shun	run	0	0
0	0	0	0	0	0	0	0	0	gua	kua	hua	0	0	0	0	0	0	zhua	chua	shua	rua	0	0
0	0	0	0	0	0	0	0	0	guai	kuai	huai	0	0	0	0	0	0	zhuai	chuai	shuai	0	0	0
0	0	0	0	0	duan	tuan	nuan	luan	guan	kuan	huan	juan	quan	xuan	zuan	cuan	suan	zhuan	chuan	shuan	ruan	yuan	0
0	0	0	0	0	0	0	0	0	guang	kuang	huang	0	0	0	0	0	0	zhuang	chuang	shuang	0	0	0
0	0	0	0	0	duo	tuo	nuo	luo	guo	kuo	huo	0	0	0	zuo	cuo	suo	zhuo	chuo	shuo	ruo	0	0
0	0	0	0	0	0	0	nve	lve	0	0	0	jue	que	xue	0	0	0	0	0	0	0	yue	0
